亻匕 [rb]	伲
亻世 [ru]	伳
亻半 [rb]	伴
亻龴 [rs]	伶
亻申 [ru]	伸
亻且 [rq]	伹
亻口 [rk]	伺
亻平 [rp]	伻
亻人 [rr]	似
亻口 [rk]	伽
亻丕 [rp]	伾
亻八 [rb]	伿
亻口 [rk]	佁
亻正 [rv]	佂
亻田 [rt]	佃
亻甘 [rg]	佄
亻未 [rw]	佅
亻一 [ra]	但
亻丁 [rd]	佇
亻巾 [rj]	佈
亻厶 [rs]	佉
亻又 [ry]	佊
亻口 [rk]	佋
亻匕 [rb]	佌
亻立 [rl]	位
亻氐 [rd]	低
亻主 [rv]	住
亻工 [rg]	佐
亻口 [rk]	佑
亻央 [ry]	佒
亻本 [rb]	体
亻口 [rk]	佔
亻口 [rk]	何
亻必 [rb]	佖
亻匕 [rb]	佗
人小 [rx]	佘
人 [rh]	余
亻失 [ru]	佚
亻弗 [rf]	佛
亻乍 [rv]	作
亻口 [rk]	佝
亻女 [rn]	佞
亻丶 [rd]	佟
亻小 [rx]	你
亻山 [re]	佡
亻巨 [rj]	佢
亻用 [ry]	佣
亻瓦 [rw]	佤
人一 [ra]	佥
亻卜 [rb]	佧
亻巾 [rj]	佩
亻口 [rk]	佪
亻口 [rk]	佫
亻匕 [rb]	佬
亻丨 [rl]	佭
亻口 [rk]	佮
亻羊 [ry]	佯
亻百 [rb]	佰
亻口 [rk]	佲
亻土 [rt]	佳
亻耳 [re]	佴
亻开 [rk]	併
亻口 [rk]	佶
亻艮 [rg]	佷
亻口 [rk]	佸
亻乛 [rv]	佹
亻王 [rw]	佺
亻丶 [rd]	佻
亻乂 [rx]	佼
亻人 [rr]	佽
亻月 [ro]	佾
亻吏 [rl]	使
亻刂 [rd]	侀
亻儿 [re]	侁
亻七 [rq]	侂
亻乛 [rv]	侃
亻土 [rt]	侄
亻人 [rr]	侅
木人 [mr]	來
亻夷 [ry]	侇
亻夕 [rx]	侈
亻亏 [rk]	侉
亻光 [rw]	侊
亻刂 [rd]	例
亻寸 [rc]	侍
亻朱 [rv]	侏
亻血 [rx]	侐
亻月 [ro]	侑
亻女 [rn]	侒
亻聿 [ry]	侓
亻牛 [rn]	侔
亻而 [re]	侕
人艹 [rc]	侖
亻口 [rk]	侗
亻七 [rq]	侘
亻工 [rg]	侙
亻日 [ro]	侚
亻八 [rb]	供
亻舟 [rv]	侜
亻𧘇 [ry]	依
亻口 [rk]	侞
亻子 [rz]	侟
亻夹 [rj]	侠
亻一 [ra]	価
亻口 [rk]	侣
亻兀 [rw]	侥
亻人 [rr]	侦
亻刂 [rd]	侧
亻丨 [rl]	侨
亻厶 [rs]	侩
亻丨 [rl]	侪
亻农 [rn]	侬
亻母 [rm]	侮
亻矢 [ru]	侯
亻王 [rw]	侱
亻乀 [rn]	侲
亻土 [rt]	侳
人刂 [rd]	侴
亻又 [ry]	侵
亻口 [rk]	侷
亻一 [ra]	侸
亻廴 [rz]	侹
亻乛 [rv]	侺
亻儿 [re]	侻
亻子 [rz]	侼
亻子 [rz]	侾
亻更 [rg]	便
亻女 [rn]	俀
亻小 [rx]	係
亻人 [rr]	促
亻我 [rw]	俄
亻求 [rq]	俅
亻 [rh]	俆
亻王 [rw]	俇
亻口 [rk]	俈
亻口 [rk]	俉
亻夂 [rw]	俊
亻巴 [rb]	俋
亻甫 [rf]	俌
亻良 [rl]	俍
人且 [rq]	俎
亻月 [ro]	俏
亻刂 [rd]	俐
亻用 [ry]	俑
亻儿 [re]	俒
亻工 [rg]	俓
亻儿 [re]	俔
亻木 [rm]	俕
亻口 [rk]	俖
亻口 [rk]	俗
亻子 [rz]	俘
亻巾 [rj]	俙
亻里 [rl]	俚
亻乛 [rv]	俛
亻乛 [rv]	俜
亻木 [rm]	保
人刂 [rd]	俞
亻矢 [ru]	俟
亻夾 [rj]	俠
亻口 [rk]	信
亻天 [rt]	俣
亻丿 [rp]	俤
亻車 [ri]	俥
亻寸 [rc]	俦
亻严 [ry]	俨
亻两 [rl]	俩
亻丽 [rl]	俪
亻来 [rl]	俫
亻一 [ra]	俭
亻丿 [rp]	修
亻寸 [rc]	俯
亻口 [rk]	俰
亻八 [rb]	俱
亻非 [rf]	俳
亻戈 [rg]	俴
亻𧘇 [ry]	俵
亻又 [ry]	俶
亻巴 [rb]	俷
亻丨 [rl]	俸
亻亞 [ry]	俹
亻电 [rd]	俺
亻人 [rr]	俽
亻十 [ru]	俾
亻几 [rj]	俿
亻長 [ri]	倀
亻口 [rk]	倁
亻口 [rk]	倃
亻月 [ro]	倄
亻十 [ru]	倅
亻入 [rr]	倆
亻乛 [rv]	倇
亻來 [rl]	倈
人口 [rk]	倉
亻心 [rx]	倊
亻口 [rk]	個
亻㠯 [rk]	倌
亻口 [rk]	倍
亻八 [rb]	倎
亻犬 [rq]	倏
亻門 [rm]	們
亻刂 [rd]	倒
亻火 [rh]	倓
亻出 [ri]	倔
亻垂 [ri]	倕
亻干 [rg]	倖
亻月 [ro]	倗
亻口 [rk]	倘
亻矢 [ru]	候
亻口 [rk]	倚
亻八 [rb]	倛
亻口 [rk]	倜
十人 [ur]	倝
亻小 [rx]	倞
亻日 [ro]	借
亻龶 [rf]	倠
亻日 [ro]	倡
亻人 [rr]	倢
亻工 [rg]	倥
亻乛 [rv]	倦
亻小 [rx]	倧
亻口 [rk]	倨
亻月 [ro]	倩
亻儿 [re]	倪
亻艹 [rc]	倫
亻十 [ru]	倬
亻女 [rn]	倭
亻果 [rg]	倮
亻厶 [rs]	倯
亻夂 [rw]	倰
亻匕 [rb]	倱
亻東 [rd]	倲
亻事 [ru]	倳
亻廾 [rc]	倴
亻止 [rv]	倵
亻小 [rx]	倷
亻人 [rr]	债
亻阝 [re]	倻
亻 [rq]	值
亻口 [rk]	倽
亻人 [rr]	倾
亻冉 [rr]	偁
亻女 [rn]	偃
亻大 [rd]	偄
亻重 [rv]	偅
亻日 [ro]	偆
亻又 [ry]	假
亻乛 [rv]	偈
亻丨 [rl]	偉
亻禹 [ry]	偊
亻开 [rk]	偋
亻口 [rk]	偌
亻人 [rr]	偍
亻乀 [rn]	偎
亻艹 [rc]	偏
亻虫 [ri]	偑
亻勿 [rw]	偒
亻土 [rt]	偓
亻亏 [rk]	偔
亻白 [rb]	偕
亻日 [ro]	偖
亻目 [ro]	偗
亻巾 [rj]	偙
亻攵 [rw]	做
亻臼 [rj]	偛
亻丁 [rd]	停
亻月 [ro]	偝
亻木 [rm]	偞
亻王 [rw]	偟
亻女 [rn]	偠
亻乛 [rv]	偡
亻火 [rh]	偢
亻日 [ro]	偣
亻酉 [ry]	偤
亻廴 [rz]	健
亻月 [ro]	偦
亻夕 [rx]	偧
亻木 [rm]	偨
亻八 [rb]	偩
亻田 [rt]	偪
亻寸 [rc]	偫
亻心 [rx]	偬
亻面 [rm]	偭
亻耳 [re]	偮
亻𧘇 [ry]	偯
亻大 [rd]	偰
亻目 [ro]	偱
亻心 [rx]	偲
亻而 [re]	偳
亻刂 [rd]	側
亻八 [rb]	偵
亻禺 [ry]	偶
亻刂 [rd]	偷
亻女 [rn]	偻
亻灬 [rh]	偽
亻人 [rr]	偾
亻厶 [rs]	偿
亻鬼 [rg]	傀
亻几 [rj]	傂
亻小 [rx]	傃
亻目 [ro]	傄
亻寸 [rc]	傅
亻小 [rx]	傆
亻耳 [re]	傇
亻木 [rm]	傈
亻寸 [rc]	傉
亻八 [rb]	傊
亻冉，亻再 [rr,rz]	傋
亻馬 [rm]	傌
亻方 [rf]	傍
亻口 [rk]	傏
亻口 [rk]	傐
亻木 [rm]	傑
亻大 [rd]	傒
亻习 [rx]	傓
亻乀 [rn]	傔
亻龶 [rf]	傕
亻口 [rk]	傖
亻田 [rt]	傗
人十 [ru]	傘
亻用 [ry]	備
亻口 [rk]	傛
亻缶 [rf]	傜
亻习 [rx]	傝
亻工 [rg]	傞
亻豕 [ru]	傢
亻氺 [ru]	傣
亻儿 [re]	傥
亻八 [rb]	傧
亻日 [ro]	储
亻龶 [rf]	傩
亻丿 [rp]	傪
亻小 [rx]	傫
亻龶 [rf]	催
亻丨 [rl]	傭
亻日 [ro]	傮
亻月 [ro]	傰
亻人 [rr]	傱
亻攵 [rw]	傲
亻寸 [rc]	傳
亻口 [rk]	傴
亻八 [rb]	債
亻小 [rx]	傶
亻勿 [rw]	傷
亻乂 [rx]	傸
亻儿 [re]	傹
亻小 [rx]	傺
亻夂 [rw]	傻
亻乀 [rn]	傼
亻十 [ru]	傽
亻八 [rb]	傾
亻灬 [rh]	傿
亻巾 [rj]	僀
亻心 [rx]	僁
亻女 [rn]	僂
亻小 [rx]	僄
亻一 [ra]	僅
亻辶 [rz]	僆
亻丿 [rp]	僇
亻又 [ry]	僈
人人 [rr]	僉
亻巳 [rs]	僊
亻八 [rb]	僋
亻攵 [rw]	僌
亻八 [rb]	僎
亻乀 [rn]	像
亻口 [rk]	僐
亻口 [rk]	僑
亻口 [rk]	僒
亻八 [rb]	僓
亻寸 [rc]	僔
亻乀 [rn]	僕
亻口 [rk]	僖
亻力 [rl]	僗
亻攵 [rw]	僘
亻八 [rb]	僙
亻小 [rx]	僚
亻人 [rr]	僛
亻一 [ra]	僜
亻子 [rz]	僝
亻灬 [rh]	僞
亻丶 [rd]	僟
亻田 [rt]	僠
亻丨 [rl]	僢
亻日 [ro]	僣
亻丨 [rl]	僤
亻兀 [rw]	僥
亻尤 [ry]	僦
亻日 [ro]	僧
亻八 [rb]	僨
亻月 [ro]	僩
亻口 [rk]	僪
亻灬 [rh]	僬
亻日 [ro]	僭
亻里 [rl]	僮
亻丨 [rl]	僯
一人 [ar]	僰
亻米 [rm]	僳
亻一 [ra]	僵
亻彐 [re]	僶
亻木 [rm]	僷
亻小 [rx]	僸
亻八 [rb]	價
亻木 [rm]	僺
亻十 [ru]	僻
